MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
0,32.2,0.531,10.8,28.5,4,10.5,7.1,19.76,182.5,6.1,19.7,0,0,0,0,0,7,15.7,570,0.461,1.25,0.456,5.4,6.4,440,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15.5,0.549,21.8,18.7,9,24.7,16.7,19.58,81,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39.3,0.542,7.8,22.8,7,12.5,9.5,19.49,192.2,6.4,22.2,2.4,4.7,578,7,8.6,8.4,17.9,691,0.496,1.24,0.492,4.6,5.8,375,0.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
0,35,0.54,23.5,24.8,4,10.6,7.2,19.37,179,6,18.3,0,0,0,0,0,6.2,14.4,509,0.461,1.27,0.478,4.5,5.7,370,0.791,1.3,4,109,0.348,514,6.3,8.6,1.77,124,1.51,2.08,0.48,0,0,0,0,0,0
0,16.9,0.555,6,20.7,13,18.9,15.9,19.36,76.3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,0.516,7.5,25.5,11,17.4,14.1,19.31,158.2,5.3,17.2,3,4.6,611,7.5,12.1,6.1,13.9,495,0.443,1.24,0.441,4.9,6.3,400,0.781,0,0,0,0,0,0,0,0,0,0,0,0,152,1.88,3,0.55,20,0
0,38.1,0.551,16.5,21.6,2,12.7,7.3,19.24,116.7,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32.8,0.588,9.1,21.9,9,14.8,12.2,19.05,163.2,5.4,17.6,2.4,4.2,514,6.6,9.6,6.7,13.1,521,0.529,1.34,0.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40.5,0.507,18.9,26.1,2,15.3,8.7,18.93,209,7,21.6,0,0,0,0,0,8.2,19.3,670,0.43,1.12,0.46,3.8,4.5,313,0.848,1.5,4,119,0.389,462,5.6,6.7,2.01,0,0,0,0,0,0,0,0,0,0
0,38,0.549,28.3,22.3,1,8.6,5.2,18.92,182.2,6.1,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,160,0.371,600,7.4,9.3,2.41,126,1.56,1.96,0.72,0,0,0,0,20,1
