MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
0,38.7,0.517,16.5,27.6,3,16.4,9.6,19.37,220.5,7.4,23,0,0,0,0,0,7.5,18.7,602,0.438,1.23,0.441,6.5,7.9,517,0.819,1.4,5,115,0.299,410,5.1,6.4,1.35,131,1.64,2.03,0.56,0,0,0,0,19,1
0,19.8,0.53,4.7,20.3,10,17.7,14,19.3,79,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1.53,3.71,0.63,0,0
0,42.5,0.478,17.4,33,2,8.2,5.1,19.3,155.7,5.2,0,0,0,0,0,0,0,0,0,0,0,0,7.1,9.5,339,0.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36.3,0.564,22.7,21.6,3,7.8,5.3,19.23,199.7,6.7,18.4,0,0,0,0,0,6.4,14.3,527,0.479,1.29,0.514,3.7,4.5,304,0.815,1.8,5,148,0.392,444,5.4,7.2,2.54,112,1.37,1.8,0.77,0,0,0,0,0,0
0,23.7,0.538,13,24.2,5,11.1,8.3,19.15,78,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36.4,0.548,9.1,17.5,8,23.6,15.8,19.03,153.3,5.1,0,2.6,7.3,808,9.9,13,0,0,0,0,0,0,0,0,0,0,1.6,4,131,0.403,0,0,0,0,0,0,0,0,124,1.51,1.99,0.5,38,0
0,29.9,0.614,10.6,17.2,4,14.5,9.3,18.88,142.7,4.8,0,0,0,0,0,0,0,0,0,0,0,0,3.4,4.1,278,0.83,1.4,4,112,0.386,0,0,0,0,137,1.67,2.68,0.55,0,0,0,0,0,0
0,34.6,0.541,27.3,20.5,5,9.7,7.3,18.87,166,5.5,0,0,0,0,0,0,0,0,0,0,0,0,4.2,5,342,0.832,0,0,0,0,501,6.1,8.5,2.33,142,1.73,2.4,0.73,0,0,0,0,0,0
0,34.6,0.528,11.8,22.4,7,25.3,16.2,18.76,115.3,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
0,35.4,0.55,24.3,22.9,1,10,5.8,18.66,167.4,5.6,16.9,0,0,0,0,0,0,0,0,0,0,0,5.2,5.9,404,0.878,1.7,4,130,0.388,446,5.7,7.8,2.36,0,0,0,0,0,0,0,0,0,0
0,29.4,0.536,21.2,21.1,4,12.6,8.5,18.54,137,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,3.8,6.2,1.81,136,1.77,2.89,0.75,0,0,0,0,0,0
0,37.5,0.516,17.3,22.8,6,24.2,15.1,18.49,160.4,5.3,17.1,2,7.7,776,9.7,12.4,6.1,14.1,485,0.46,1.22,0.457,4.3,5.7,340,0.742,0,0,0,0,327,4.1,5.2,1.39,0,0,0,0,0,0,0,0,37,1
0,22.3,0.538,8.6,19.7,12,18.8,15.4,18.47,74.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30.6,0.668,35.8,16.1,1,11.9,6.7,18.34,105.8,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,4,114,0.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39.5,0.488,19.1,26.9,4,11.8,7.7,18.3,209.3,7,20.9,0,0,0,0,0,7.9,18.9,622,0.438,1.11,0.438,4.4,5.8,347,0.754,0,0,0,0,465,5.9,7.1,1.7,130,1.65,2,0.87,0,0,0,0,0,0
0,37.2,0.511,15.3,24.3,4,12.5,8.4,18.21,162.4,5.4,18.3,0,0,0,0,0,0,0,0,0,0,0,4.4,6,322,0.733,0,0,0,0,272,3.7,4.8,1.35,152,2.08,2.69,0.78,0,0,0,0,0,0
0,38.2,0.573,17.2,20.9,4,13.3,8.7,18.15,181.4,6,18.5,0,0,0,0,0,6.8,13.6,555,0.516,1.36,0.519,4.4,5.7,357,0.763,0,0,0,0,315,3.8,4.8,1.59,0,0,0,0,0,0,0,0,0,0
