PLAYER,MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
Gordon Hayward,0,34.4,0.567,17.3,25.4,2.4,14,8.2,20.24,380.6,12.7,19.3,0,0,0,0,0,6.4,14.3,484,0.481,1.35,0.5,4.9,6.1,375,0.812,1.6,4,120,0.364,313,4.1,5.7,1.52,108,1.42,1.98,0.82,0,0,0,0,0,0
Tyson Chandler,0,30.5,0.697,11.3,11.9,14.1,27.4,20.7,20.12,324.7,10.8,0,3.9,7.6,864,11.5,18.1,0,0,0,0,0,0,2.5,3.4,185,0.72,0,0,0,0,0,0,0,0,0,0,0,0,91,1.21,1.91,0.54,31,0
Paul Millsap,0,32.7,0.565,15.2,22.1,6.9,20,13.6,20.1,306.8,10.2,16.7,1.9,5.9,570,7.8,11.4,6.1,12.7,443,0.513,1.31,0.518,3.5,4.6,255,0.757,0,0,0,0,223,3.1,4.5,1.34,130,1.78,2.61,0.65,0,0,0,0,15,0
Alexis Ajinca,0,14.1,0.595,9.6,19.6,12.4,25,18.7,20.01,134.4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Davis,0,23.3,0.594,13.3,13.9,13.3,23.1,18,20,233.5,7.8,0,2.9,4.7,600,7.6,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.24,2.56,0.49,0,0
Shabazz Muhammad,0,22.8,0.556,8.2,23.4,8.1,12.4,10.2,19.99,122.6,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Wall,0,35.9,0.523,32.7,26.8,1.5,12.8,7.3,19.92,377.8,12.6,17.6,0,0,0,0,0,6.6,14.8,519,0.478,1.19,0.473,3.6,4.6,284,0.785,0,0,0,0,792,10,13.4,2.61,138,1.75,2.33,0.77,0,0,0,0,40,0
Lou Williams,0,25.2,0.564,12,25.2,1.4,7.3,4.3,19.9,282.9,9.4,0,0,0,0,0,0,4.7,11.6,375,0.464,1.34,0.486,4.3,4.9,340,0.861,1.9,6,152,0.34,0,0,0,0,88,1.1,2.1,0.85,0,0,0,0,0,0
Chris Bosh,0,35.4,0.548,9.2,25.9,3.6,20,12,19.87,215.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,4.1,5.3,179,0.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Rudy Gay,0,35.4,0.555,14.5,25.4,4.8,13.7,9.4,19.76,332.7,11.1,21.1,1.4,4.4,399,5.9,8,7.5,16.4,508,0.479,1.28,0.491,5,5.8,337,0.858,0,0,0,0,250,3.7,5,1.37,71,1.04,1.42,0.45,0,0,0,0,0,0
Al Jefferson,0,30.6,0.5,8.9,24.1,5.3,25.5,15.1,19.75,272.1,9.1,16.6,1.5,6.9,548,8.4,13.2,7.5,15.5,486,0.482,1.07,0.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1.29,2.02,0.6,22,0
Brandon Jennings,0,28.6,0.522,28.1,27.1,1.9,8,4.8,19.74,153.1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marreese Speights,0,15.9,0.546,8.2,26.3,10.1,18.7,14.5,19.58,161.8,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Randolph,0,32.5,0.538,11.2,22.5,11.2,25.8,18.5,19.54,276.4,9.2,16.1,3.2,7.4,747,10.5,15.6,6.4,13.1,454,0.49,1.23,0.491,3.2,4.2,228,0.765,0,0,0,0,0,0,0,0,69,0.97,1.44,0.39,0,0,0,0,38,0
