MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
0,29.4,0.555,24.9,25.9,1,7.5,4.4,19,238.5,7.9,16.7,0,0,0,0,0,6.7,13.4,456,0.509,1.24,0.513,2.9,3.6,197,0.811,0,0,0,0,388,5.7,9.3,2.57,0,0,0,0,0,0,0,0,0,0
0,36.1,0.572,4.1,20.9,9.5,11.3,10.4,18.89,87.7,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,67,0.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22.6,0.596,4.4,21.3,8.7,17.2,12.8,18.89,161.6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22.2,0.532,11.3,23.4,8.9,19.9,14.4,18.85,199.2,6.6,0,1.6,3.7,390,5.3,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1.03,2.22,0.45,0,0,0,0,0,0
0,31.8,0.536,10.7,20,11.5,27.6,19.5,18.85,223,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
0,18.9,0.588,16.3,21.2,2.6,9.6,6.2,18.8,177.7,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,4,135,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th,36.1,0.591,9.1,25.9,8,24.1,16.1,30.89,710.6,23.7,24.4,2.5,7.7,696,10.2,13.6,9.4,17.6,642,0.54,1.38,0.536,5.5,6.8,371,0.805,0,0,0,0,0,0,0,0,100,1.47,1.96,0.71,200,2.94,3.91,1.42,42,0
4th,34.4,0.536,21.9,38.2,5.9,16.7,11.4,29.12,622.6,20.8,28.1,1.9,5.4,488,7.3,10.2,9.4,22,627,0.457,1.28,0.455,8.1,9.8,546,0.835,0,0,0,0,574,8.6,12,1.96,140,2.09,2.92,0.76,0,0,0,0,31,11
1st,32.7,0.638,26.3,28.5,2.4,11.4,7,28.06,665.2,22.2,23.8,0,0,0,0,0,8.2,16.8,653,0.528,1.42,0.594,3.9,4.2,308,0.914,3.6,8,286,0.443,619,7.7,11.4,2.49,163,2.04,2.99,1.03,0,0,0,0,23,0
0,33.8,0.633,15.1,28,1.9,18.7,10.4,27.65,233.7,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2nd,36.8,0.605,20.8,30.5,2.8,14.2,8.5,26.76,723.4,24.1,27.4,0.9,4.7,459,5.7,7.4,8,18.1,647,0.48,1.51,0.511,8.8,10.2,715,0.868,2.6,7,208,0.375,565,7,9.1,1.76,154,1.9,2.48,0.74,0,0,0,0,21,4
0,23.8,0.619,1.2,18.7,15.6,34.7,25.4,26.26,266.9,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,2.56,5.17,0.95,22,1
